qsrank	statename	overall	Fitness	Routine	Nutrition	Sleep	Weight	Diabetes	arts	engineering	life	natural	social	id
33	Bullock	85.2	99.2	100	66.2	84.5	96	64.7	74.6	79.8	79.9	80.8	79.6	1063
34	Butler	84.4	93.3	90.6	86.5	100	98.6	52.6	54.8	81.2	57.4	79.1	78.8	1065
35	Calhoun	84.1	99.9	92.1	94.8	16.5	22.9	68.4	72.8	77.2	78.3	82.2	72.4	1067
36	Chambers	84.1	98.7	93.6	87	47.2	60.4	60.9	66.8	76.3	73.2	78.5	75.6	1069
37	Cherokee	83	97.4	69.7	91.8	56.9	36	68.7	68.5	73.3	80.5	79.4	74.1	1071
38	Chilton	82.9	99.5	98	50.1	99.7	87.2	68.4	78.5	76.1	79.3	76.4	79.9	1073
39	Choctaw	82.3	94.5	83.3	87.9	95.8	81.7	47.1	68.4	72.7	71.6	71.4	78	1075
40	Clarke	81.9	100	98	47.7	2.3	43.6	100	84	82.8	89	86.5	82.8	1077
41	Clay	81.1	74.1	97.5	99.9	72	91.4	66.2	0	76.9	0	78.3	57.2	1079
42	Cleburne	81.1	92.4	94.1	90.1	100	97.1	33	62.9	83.3	62.9	78	77.6	1081
43	Coffee	80.9	95.7	91.9	49.8	98.8	86.8	69.3	70.8	76.6	77.8	79.2	77.2	1083
44	Colbert	69.33577538	60.88105249	59.49989821	34.95932231	69.0788536	48.73772826	39.20606954	64.50967547	38.86323446	11.69417613	46.31058325	26.018435	1085
45	Conecuh	46.08157249	3.047882005	83.8730834	75.66662915	73.36911156	35.77433954	30.00900749	86.7349737	61.91137344	30.29789969	66.35326044	45.11045662	1087
46	Coosa	27.81851197	26.32136732	21.08537975	64.53292675	63.9307039	96.25547161	4.984298169	36.17460762	42.54977898	62.81352485	46.65916408	17.03449138	1089
47	Covington	76.87039351	8.062217855	62.37296064	40.35643968	93.88255856	2.835842619	37.82256483	82.30922705	49.43740603	68.82100603	28.67379394	49.87835688	1091
48	Crenshaw	69.97733837	61.09045542	13.69249782	77.7239895	37.60893795	16.05122126	39.5394772	49.64120494	77.47450875	14.44070369	69.48706569	28.6121816	1093
49	Cullman	4.894725635	28.78276126	61.11329443	53.77654303	91.92763915	28.42490477	94.67618099	38.25272252	58.99179875	31.59585962	58.87165426	88.26423637	1095
50	Dale	13.426938	54.70211903	30.31881933	10.78756883	64.23738637	11.09401703	71.05495399	71.87459655	84.37722038	92.92000183	8.973841809	56.83712624	1097
51	Dallas	2.767079277	75.11026386	6.579751348	74.56890582	47.63916539	86.66486849	50.03655761	93.37880676	89.09413884	95.49859344	97.10939461	16.7306939	1099
52	De Kalb	87.17705607	98.81340167	13.03455354	39.68320884	47.25503899	50.46455544	99.71808048	3.958851399	20.6318694	83.22114822	3.943121276	35.27551974	1101
53	Elmore	44.26508955	74.18446386	33.86552512	14.39488231	47.96011447	28.51752272	12.59133942	52.36328292	68.14135155	33.00629651	86.7050244	18.64348125	1103
54	Escambia	23.4159431	63.69219899	14.41007871	82.50078499	69.35895371	97.06387151	71.69592127	4.211245058	19.51610571	27.03293688	94.63166003	22.47258195	1105
55	Etowah	4.127687404	92.75762786	89.04358483	33.6501234	9.075835567	31.83329806	81.37655289	10.00347806	64.38475688	27.04031938	81.33126112	77.75935671	1107
56	Fayette	15.4928998	7.406866718	14.6412408	63.76507805	4.5948226	2.283524904	66.47708912	92.91813575	30.2083798	1.304873611	52.05131738	77.31401028	1109
57	Franklin	17.18884965	33.21052345	60.77780003	44.27270242	74.60276618	0.661344819	69.79426198	10.78922709	76.84679593	78.10479944	50.34415014	18.11558996	1111
58	Geneva	4.86736388	58.21518365	7.531114171	72.68565347	15.33018776	53.94866905	1.351712879	87.77978908	45.8617268	78.97868582	46.80266422	49.18460673	1113
59	Greene	60.36146072	47.73777603	90.35272425	39.21676494	23.74639279	3.165510015	87.71954776	67.8116408	56.03832342	82.93563491	96.08371516	64.68765786	1115
60	Hale	12.51374108	51.64677154	93.35831876	78.32174098	55.20454375	39.72148353	40.72161364	73.8941238	53.09034011	11.25919	96.49920498	22.6122537	1117
61	Henry	98.24961206	14.57130183	27.82526049	23.7944596	16.50430294	38.20697523	35.87246447	57.02405618	62.39635434	84.23611874	72.75888732	99.85183779	1119
62	Houston	19.19802542	38.50068984	6.870264456	24.70348076	23.76338502	14.48999352	34.76066318	40.90328538	17.06710504	71.70806935	60.5493741	39.56260039	1121
63	Jackson	26.58495033	40.80520398	0.353303515	68.97425171	55.18200412	17.69433593	93.03547665	69.2478571	94.46041358	65.22207925	72.90609752	28.44182455	1123
64	Jefferson	31.94865287	56.32904781	94.16612651	96.32377573	90.72585155	47.30040725	34.71473649	52.63117693	11.56947659	1.558023474	34.21321817	13.57694172	1125
65	Lamar	98.67528576	39.36162314	15.89940214	32.55542396	44.50862201	4.401197988	66.17763255	81.7981516	98.03455382	92.12535516	27.20591926	88.60516291	1127
66	Lauderdale	19.29454874	38.31650195	16.38727534	97.58563282	4.156470987	73.00884197	5.233669001	65.99248348	8.572831569	50.16568751	44.0674133	9.336126407	1129
67	Lawrence	59.75235038	66.75173802	74.34744691	10.85574899	83.79792417	87.43858609	48.80762519	23.94287689	71.38213832	65.67362529	21.80371638	2.911099878	1131
68	Lee	87.68139338	46.95969781	59.3724074	95.32317607	56.14580944	3.42436484	31.12564281	55.57754866	59.42194396	3.676360509	48.82883011	67.54320235	1133
69	Limestone	11.79112765	49.85171817	80.04336689	34.27334909	36.64511945	15.63569189	96.36336038	79.20957687	34.76303676	57.41005642	11.25438138	5.235905306	2000
70	Lowndes	28.97006876	86.16021947	14.69681652	40.8063224	39.47276448	36.70519651	71.18267324	12.76995852	93.83146998	72.6849162	61.20352989	64.37953863	2013
71	Macon	79.16905214	34.0186253	74.38516113	0.189998469	34.62043737	71.06551136	81.06569669	69.61658552	96.87681646	32.98703816	39.65260131	16.76282384	2016
72	Madison	52.83528746	30.11017369	25.70872047	83.75506041	83.01937506	38.73601888	84.48671957	58.62156736	18.16385868	83.84405552	13.7183043	93.74244406	2020
73	Marengo	66.20472101	89.69625707	7.745572301	20.32970022	17.10296363	98.00457865	43.12308581	33.6969167	7.129926693	0.200576521	96.50327809	15.42779503	2050
74	Marion	9.867454846	65.66228509	56.911994	89.71188747	77.28481634	63.52616953	81.82743013	92.68571482	99.91904323	34.93306054	72.35656501	96.17496593	2060
75	Marshall	78.44408868	43.24008578	86.042351	34.53598562	57.63185378	18.34739754	73.4160212	21.59923156	23.24398319	76.74478581	42.69196079	61.21650707	2068
76	Mobile	42.679747	87.55420606	25.24775006	70.85654805	63.15476188	13.08305878	75.27478844	15.67717804	43.72374737	4.208173529	89.5544011	39.38942939	2070
77	Monroe	58.06222882	19.92399116	17.75849471	65.14113831	53.7838949	45.96351655	13.0839872	24.71681239	9.314474351	86.40637892	78.17587597	91.96844053	2090
78	Montgomery	36.77921367	38.73472467	57.7296519	68.21498091	70.2325738	43.11638319	67.86095987	72.00847292	15.27835472	13.54902477	77.93617666	77.38907375	2100
79	Morgan	8.023759961	79.57507956	88.14937931	27.20671882	6.540953535	93.72092855	92.02672726	56.31334867	12.47571789	56.39839	85.14541081	39.58984867	2110
80	Perry	48.01678428	37.23622424	75.33688374	28.66788275	87.61940192	80.81396666	2.152424003	34.36555592	39.58525836	61.96401764	14.90801355	56.10299407	2122
81	Pickens	40.78618624	45.29290323	73.18385387	89.58695968	19.67027681	43.02267935	11.50235594	25.27017168	24.98858547	54.3859429	73.96750241	28.23659445	2130
82	Pike	75.28031171	65.36521287	1.667787228	77.04086371	97.05988638	51.59439695	5.79040947	95.88245463	37.61244778	86.17666822	22.67251358	62.11557967	2150
83	Randolph	29.8828835	15.20047787	62.30579636	71.41237976	3.70241049	53.36206885	11.79749121	90.89291851	84.21380748	81.02320213	60.20835651	3.392446737	2164
84	Russell	50.52209222	85.27448985	84.00506725	32.27262247	71.28799962	83.71465602	87.75748202	63.24031945	48.14552619	10.45113376	50.2567671	1.935049052	2170
85	Saint Clair	80.02679645	4.10871923	4.034867439	36.29176689	39.59689675	61.378306	93.38937379	97.39354626	22.81874852	74.95704421	65.40608366	66.10606146	2180
86	Shelby	62.66340711	81.67938239	40.39748055	8.237517034	85.01462912	77.34578324	55.48405709	48.36885073	70.79911297	54.66457507	55.0582107	82.30838806	2185
87	Sumter	48.16570899	99.55236962	18.27662126	79.2636685	57.38407051	75.10070329	12.21816697	74.05527323	42.72850615	69.311759	55.55094306	23.48383841	2188
88	Talladega	33.21776376	25.82089406	75.50684432	13.22263571	59.13586472	28.13270913	6.684174958	87.21462422	80.38711012	58.32458012	58.48954926	38.11291045	2201
89	Tallapoosa	96.9989419	51.84222953	51.49793077	24.36022921	1.573711256	67.93173317	85.2808207	46.54558858	51.9505449	16.59587046	27.70126701	36.61476881	2220
90	Tuscaloosa	83.54837576	90.16788313	19.63664588	45.60342593	85.09335088	18.24467412	40.26700128	72.90746723	72.09754171	55.92910306	17.95997948	5.072661149	2232
91	Walker	19.32998789	94.40817702	25.78457321	56.06422216	96.45431849	50.58412912	62.61283971	35.16441298	9.069399261	77.59969353	79.19230665	32.67841362	2240
92	Washington	86.5083922	79.21650982	85.94371051	53.70911127	45.59989269	62.89279932	31.73542353	72.61103824	53.88897242	61.2985833	85.30213269	88.27270625	2261
93	Wilcox	95.29118875	83.55346079	35.21505716	1.754514817	25.98090025	47.72026173	94.78954048	14.35034801	22.31500662	83.91471764	53.81723008	72.34068611	2270
94	Winston	16.98911731	59.6733786	88.68396632	15.52628827	61.17696665	36.68157421	33.90300865	20.29503258	62.64177258	60.34651791	31.35670238	22.69185067	2280
95	Arkansas	8.527094193	35.25345898	93.2244875	78.53903176	6.676533734	68.36866693	75.27868477	86.44926791	86.30663632	1.911404396	16.61403215	7.531161092	2282
96	Ashley	55.46261446	29.21186541	7.481568459	80.51491933	1.404062879	81.51803538	20.09097543	0.093310553	73.09747821	37.59396236	75.24365176	3.923971371	2290
97	Baxter	33.13483494	93.12738489	72.35828996	72.54117544	13.3484299	25.33746561	20.36303168	40.24749916	51.15099513	49.51426285	72.72063284	14.74644012	4000
98	Benton	40.51385539	53.9925675	72.25162851	62.78607579	50.76053893	27.26275692	15.38600908	22.01023421	80.22960943	96.3461241	34.19744252	36.18342307	4001
99	Boone	40.12903602	47.82366912	36.06199578	75.43847912	27.24402343	85.57785575	25.17182939	95.68038536	17.80868756	80.35866756	59.42651097	99.74714228	4003
100	Bradley	23.73993088	19.80212033	96.89981738	12.65277428	77.15506481	59.64465345	53.98147619	78.96385862	83.26495485	68.57724993	88.57271101	88.98323739	4005
101	Calhoun	12.77221573	34.02682755	71.89178304	51.08896825	51.82792939	10.02400688	87.5623475	90.24884742	79.05677725	98.18955913	29.88801325	79.80025562	4007
102	Carroll	53.27877142	96.03733197	25.68379734	94.40674495	65.60232727	91.93265174	4.431224096	44.58601184	27.04162858	34.06776454	55.28350465	30.81591102	4009
103	Chicot	18.00685498	50.97873029	75.43450919	22.54973213	7.40692328	93.87717372	45.97086689	91.04010342	22.9435555	53.77510435	80.61499248	27.04353696	4011
104	Clark	58.01239356	12.42298287	21.05401127	89.34262494	30.36156772	61.74743687	54.89574576	71.2982634	28.80116732	49.29696109	81.75290669	89.22867298	4012
105	Clay	53.65798333	14.57829162	32.9993318	41.26411508	39.71610027	73.17113967	74.43265979	97.10130755	30.61309016	21.73072188	20.23437854	74.74782512	4013
106	Cleburne	72.20106416	51.46036628	32.24976891	67.24611959	38.05316667	14.04227054	2.519942824	60.82383259	76.91922969	94.05330185	3.92185293	46.1144174	4015
107	Cleveland	71.14198781	13.88447026	30.32050223	56.69369136	25.3362008	52.58480853	6.440795722	63.26560753	17.54809744	72.9818676	99.93162503	39.16518722	4017
108	Columbia	31.623676	2.923977216	80.16694686	91.34907784	74.06309957	99.18568787	47.52372708	11.91494746	60.31080426	23.06547672	26.37521828	37.10545307	4019
109	Conway	32.2948629	62.27092428	70.30581498	20.55309804	28.38472103	22.58159218	62.71666311	3.536822502	8.843021103	70.58366459	19.41953093	37.19939245	4021
110	Craighead	49.60326648	65.96446607	96.41030501	64.34501799	85.63733729	10.4475751	51.6709545	6.460099361	28.22045371	8.446259126	33.93793946	57.51965143	4023
111	Crawford	16.18043092	98.65711016	16.84331272	40.77161885	34.34210424	14.61845463	91.56390943	35.65892075	9.120457391	1.682043423	93.02576209	97.43668413	4025
112	Crittenden	93.88606873	10.87992013	14.89816377	91.8426962	53.16737857	92.85041612	8.265389243	74.82678201	74.89578934	95.71948719	38.69791212	20.76052962	4027
113	Cross	78.27123098	64.25219347	8.969479632	98.97171075	30.51360116	66.12674251	52.78861531	10.50721241	78.32695221	6.48222696	90.31796776	73.79708263	5000
114	Dallas	5.557611262	14.45362236	45.855781	37.97375519	17.046078	89.9028538	15.63977535	24.93850751	25.84819924	36.88499891	45.22015993	91.21480021	5001
115	Desha	75.15371742	3.915022468	7.676999278	75.18617929	69.54582324	33.1170677	38.05189508	77.74319865	89.36883021	83.67156138	92.55688406	79.33351857	5003
116	Drew	79.05299442	69.71881589	5.407099523	68.9680734	25.82733676	94.53234803	73.80120219	60.83576377	81.64298636	30.81455429	51.09686013	19.77550769	5005
117	Faulkner	55.67363038	75.84304662	80.31821131	10.94093294	75.38783143	19.76852937	32.07066268	59.64853196	43.3648098	42.58709953	68.51771675	6.8699305	5007
118	Franklin	27.63148879	88.29510725	85.38009895	75.4240617	49.62935464	32.29680253	77.70744987	57.85771803	78.70248898	83.47898063	56.19887994	37.81990767	5009
119	Fulton	96.09653606	97.00261786	98.58700995	79.52380697	55.69736169	1.163725507	81.63884086	23.36755722	96.24532279	51.71286843	67.42974852	13.07571402	5011
120	Garland	69.81944373	15.10931134	60.76891651	5.195200805	39.17613625	78.93086931	15.02935293	24.53138838	71.37777998	18.8351169	37.36807435	17.35975887	5013
121	Grant	62.81545188	45.32868994	11.88612315	82.33091529	79.04120595	41.39229313	56.3773484	31.48070878	8.201368033	71.42002441	90.1241788	76.04642658	5015
122	Greene	69.444134	62.51180842	20.97595668	92.98565838	43.0241287	45.60336687	92.91435001	77.03638629	15.02222113	58.75728321	71.1832487	91.345508	5017
123	Hempstead	35.60615517	0.364713085	37.35751659	84.97374292	16.04827227	66.18817953	58.94908482	31.53224132	22.30716371	20.72106471	78.31979401	27.05776879	5019
124	Hot Spring	88.3583429	46.49686828	57.89530787	95.38678926	53.6425067	82.48341683	32.89496267	96.03565293	82.6811147	77.26113471	22.45041752	7.281766394	5021
125	Howard	13.76236663	19.8754223	30.90065621	84.38986551	74.99027185	82.06040929	98.26794388	18.9574353	59.06479483	63.53791981	99.29317068	53.67561895	5023
126	Independence	10.20676805	59.14108626	80.42649417	6.539819883	5.8217607	92.22317007	21.76630917	71.21231088	61.80813732	6.979349094	8.738223334	1.657171298	5025
127	Izard	0.182379212	56.61503019	76.48676663	62.90833418	44.38418007	55.32472207	13.908059	71.8441637	87.97368297	71.15583611	71.11288726	77.72416216	5027
128	Jackson	42.41172829	25.64034758	44.73783411	27.52432338	53.7881834	38.3304131	8.287982438	26.83117195	10.63195362	3.405582072	8.506720413	12.75143869	5029
129	Jefferson	47.12877957	28.62987138	72.37964443	99.01742059	90.02753041	5.987592244	85.05946484	61.17081164	19.49942783	71.72160215	85.46741591	99.19987315	5031
130	Johnson	5.398596497	10.18952726	99.43633877	55.8801301	35.28261703	17.13983807	30.84825594	16.31373955	7.430315211	55.91968909	69.39956135	62.64891296	5033
131	Lafayette	62.53361997	88.55747019	54.80566877	81.53775228	48.20805481	8.096947323	87.27058837	15.43345608	97.15457387	14.67571737	87.84071341	93.68779712	5035
132	Lawrence	26.54909272	7.625876951	74.13158101	38.95276386	57.23717665	5.677519132	49.62566596	4.311620554	93.19947963	2.097061837	45.33929286	83.99261488	5037
133	Lee	70.51539834	26.56956728	15.63485772	58.36816879	80.72263086	88.07169317	59.58878432	97.36790466	4.195121751	88.99519291	89.77214869	14.07660727	5039
134	Lincoln	98.58975955	67.47279948	21.68034916	92.69024713	45.04963796	49.26928217	60.30565522	12.51775236	28.28527183	85.09339838	70.63407974	32.65436452	5041
135	Little River	25.29790019	5.267372745	48.90664869	9.07567564	4.688614113	33.12888249	25.25317989	16.83413243	74.83131209	71.37675163	64.67916159	81.1590799	5043
136	Logan	17.56241292	93.80834639	75.71235279	10.9000202	56.85013629	74.61197657	48.90250461	33.20617028	10.71679617	55.61163384	72.45659283	37.64062406	5045
137	Lonoke	7.478829065	44.18912026	25.54456317	64.45287135	55.88904102	25.00320736	83.35609205	45.62520865	95.09219783	50.84057465	98.39745818	67.51834888	5047
138	Madison	44.60374993	70.30406504	12.93445718	40.01306773	58.95819757	34.2803661	54.35100227	95.15786707	52.19949719	82.85657849	56.46890003	12.40781848	5049
139	Marion	99.68274913	10.69614649	38.44955657	50.37293166	48.0215736	71.69940686	98.28392377	93.03393177	25.49033836	13.52629076	44.74502206	42.9653587	5051
140	Miller	39.45777516	49.30837225	13.16208395	64.12808242	22.08893894	40.33854617	74.00411666	36.96406333	76.89279093	4.135300934	2.702431621	82.95732267	5053
141	Mississippi	23.9459885	80.9973248	67.96392669	55.17073944	18.03482781	93.18922187	96.07514815	67.8596534	90.53782969	99.58892018	27.7773746	16.82480822	5055
142	Monroe	69.06498569	28.8089554	91.44985205	47.80133455	15.8777925	28.78348036	67.28467149	80.08657925	7.232284801	29.02105003	58.55316962	84.01830981	5057
143	Montgomery	98.71721707	76.71414374	14.47422701	10.63848664	80.0224503	50.6205239	3.689772813	95.93673507	89.26628091	52.30313258	3.743483282	28.90347813	5059
144	Nevada	24.82408155	42.61177213	83.67080352	77.43079235	26.16702492	47.74853082	26.26070414	89.86275332	62.0588857	48.0295862	8.016927068	4.772255863	5061
145	Newton	70.99654898	33.3497284	85.05970458	26.36775311	50.04217312	19.4107922	28.64157171	54.24905197	14.84700396	88.52176663	7.001330436	79.51325935	5063
146	Ouachita	16.11633381	50.61219465	28.30348166	46.64067956	49.54004679	59.69533962	16.92712298	7.444352653	3.66686097	0.347733911	65.6370783	74.18743718	5065
147	Perry	74.91638381	65.89108508	79.4354688	91.56982859	70.08090025	99.16615831	38.13011811	73.58341796	53.16400412	48.86634835	64.81496674	44.21378366	5067
148	Phillips	15.77680852	43.84245653	48.94023132	39.10445384	65.35335951	61.27172736	57.72373775	86.21643302	43.05330708	0.283081167	2.092259307	15.65510287	5069
149	Pike	31.75096503	61.0890956	60.63417114	56.39828024	11.97013209	83.9667176	12.61195836	12.772777	7.110326927	81.22558257	1.400116745	66.17151183	5071
150	Poinsett	80.13451223	13.60046772	77.18550096	25.75035502	93.34534593	9.664831069	32.82361855	20.84199491	61.40389818	36.07295413	5.18540995	9.869871504	5073
151	Polk	71.28022537	27.23162607	62.50786389	83.04789096	66.62036443	95.16841172	69.03533309	11.42968533	74.19747198	56.95846779	96.29606851	75.82267496	5075
152	Pope	14.37945446	81.1291836	2.391332547	44.44870594	75.16261204	76.04146573	39.4511086	65.43651893	84.45382258	70.09698522	93.40953135	45.4958058	5077
153	Prairie	45.93569886	50.22890193	67.14454247	96.22939442	63.93057904	66.70071653	48.04437834	29.89639071	56.7936738	20.62515618	51.32614684	17.01767116	5079
154	Pulaski	89.26633349	42.42987549	25.35159811	86.17359724	89.27835798	70.13371193	25.01720505	5.100702227	76.80231979	76.18866794	62.54967337	28.60444027	5081
155	Randolph	31.76740489	46.23116784	7.953809607	96.90824686	60.94095545	43.87169707	68.17200119	5.239196772	14.57074346	68.29455068	71.92892607	54.78438876	5083
156	Saint Francis	60.35281118	34.9213772	52.45890524	91.88828678	61.43504955	79.50093882	60.7619821	31.69788698	14.89406004	50.25812619	68.41863232	12.50101438	5085
157	Saline	18.31548887	15.07349356	76.93839356	58.23893536	27.01007696	41.92484624	6.073552832	97.87733213	23.41493118	2.448369756	97.30534109	94.95222421	5087
158	Scott	59.61598798	57.79632621	15.88297139	56.44450507	63.79466111	75.94160495	4.514232424	98.43034187	71.42374357	63.05243289	40.45572057	36.56414773	5089
159	Searcy	79.24292027	45.05601246	24.85096724	47.25747841	14.23191084	2.87420053	26.04470544	18.2279998	40.24370079	56.41347805	50.68383104	74.6102114	5091
160	Sebastian	78.56772051	0.990253447	44.35684482	97.17348972	23.93375973	50.15292956	20.94314824	73.18726432	78.29051138	14.31673373	89.5910949	87.81909467	5093
161	Sevier	87.33288589	93.01137097	34.00376964	78.24754707	48.08735953	17.07216519	38.30188139	24.33323234	7.734586506	68.61441189	38.80110839	48.29840092	5095
162	Sharp	19.55501526	76.13978861	1.061376545	44.28118786	85.31850659	92.38949551	70.46071223	65.50358711	87.36024643	12.40224923	30.66301307	12.09634225	5097
163	Stone	32.86098923	90.00401032	97.98007859	29.09763628	86.14842176	41.82702356	77.64557257	15.51676702	12.20056885	89.84222466	3.348088136	22.17368633	5099
164	Union	3.328262479	97.40679396	3.81488003	98.85471616	54.38697028	54.29320403	32.42779412	24.54311671	61.55097496	91.61868283	89.88024167	30.76697495	5101
165	Van Buren	38.66627006	24.82909452	48.88654519	29.70230644	3.061061943	47.3719637	34.27724153	20.76160681	13.51282327	90.37603579	48.15149895	80.71363928	5103
166	Washington	26.37554735	76.38828865	94.14214611	19.48720913	59.30186381	49.31408237	67.14731559	86.83119107	84.6133538	64.97415319	54.9819041	45.31162143	5105
167	White	61.82472987	4.427737353	40.60051444	82.6653914	15.58739055	79.41944024	20.4290494	86.54364312	67.82527801	35.85724828	20.29904814	90.11498129	5107
168	Woodruff	33.43096511	67.46873623	85.08697266	83.68722585	54.85244878	57.75958848	39.58641637	89.34907299	55.49490374	47.7886031	85.50026884	7.918028197	5109
169	Yell	58.46078298	11.37595088	60.86946249	55.02764809	18.85841511	17.45338533	78.27943742	91.6979562	77.46488339	75.45540568	32.0762291	40.18319302	5111
170	American Samoa	98.25577761	74.0908873	68.60612061	3.493103945	42.26478355	29.04563833	90.90868623	50.99994281	77.52387905	69.09781499	83.58886387	58.29398023	5113
171	Apache	17.19600272	20.98096841	76.6953438	25.43507407	16.66591311	41.39490563	9.642089966	10.99224389	54.57021131	57.5099854	14.00718836	24.78446436	5115
172	Cochise	31.54979513	85.42538311	29.06605229	46.61882391	93.24574264	67.00076079	43.22590822	83.49108661	40.68862008	16.6399094	23.31553574	79.12441096	5117
173	Coconino	80.26403931	33.32848614	37.30947203	91.93252095	80.67992757	69.978201	76.00742809	80.37041473	4.566692764	32.88643122	36.45687699	1.223516277	5119
174	Gila	15.83747704	54.26282857	71.25493439	8.475025235	85.1920795	57.74946427	53.01465391	28.77609585	72.41568746	66.02567754	1.249818595	88.09779373	5121
175	Graham	54.87072012	66.98240614	30.33120031	87.58580099	97.01416243	97.62125417	78.61379969	79.7227846	83.64635937	84.22287264	41.15129475	40.70097616	5123
176	Greenlee	78.49241065	33.57741774	23.96793981	39.08687396	92.15832963	34.47470857	24.63695612	55.07412515	70.50493979	78.30954921	70.19449734	16.77388756	5125
177	La Paz	0.355766118	27.29535982	57.07800804	58.27279437	57.41340437	31.21322345	14.34152414	48.10825001	34.31919472	85.43285778	44.85940623	96.87025911	5127
178	Maricopa	12.87589491	37.92863187	43.8584226	21.3938749	48.77080026	83.9654274	93.78165852	23.78782653	42.83869158	96.54930725	3.932849138	42.11322961	5129
179	Mohave	74.47473863	38.89124711	82.557202	97.0638651	60.83536577	49.3194206	14.67069678	29.58658367	2.340639918	44.50746343	61.98903436	41.84212331	5131
180	Navajo	37.61306538	36.29939119	80.15271432	35.60747689	89.26620579	3.040370138	1.055072157	12.69088342	10.9595945	66.57506783	60.06776495	43.11057978	5133
181	Pima	25.06192131	42.43165171	36.3558822	73.37723853	28.75587439	13.56425079	43.06370404	73.16184535	35.27735436	49.00770964	43.64512353	23.49208539	5135
182	Pinal	62.14825011	18.825485	32.92241145	31.76241711	22.52710936	93.15958276	14.34847117	79.21632183	15.12184426	80.86674913	58.35930939	80.36767123	5137
183	Santa Cruz	25.10286683	71.53071601	42.87546236	89.35229193	48.81480926	98.60388279	13.30484694	21.04313796	40.74002585	74.18548592	16.03826518	69.76236759	5139
